Driver,Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,AverageSpeed,AvgSpeedGap,Year,GrandPrix
BOT,0 days 01:22:15.685888888,233.51111111111112,243.17777777777778,278.15555555555557,290.44444444444446,261.3222222222222,4.545424836601342,2019,Bahrain Grand Prix
VET,0 days 01:18:01.493764705,233.7058823529412,244.64705882352942,275.7647058823529,286.79411764705884,260.2279411764706,5.639705882352928,2019,Bahrain Grand Prix
VER,0 days 01:15:34.561771428,231.4,242.57142857142858,276.4,289.48571428571427,259.9642857142857,5.903361344537814,2019,Bahrain Grand Prix
GAS,0 days 01:23:16.449131578,230.26315789473685,240.28947368421052,277.0263157894737,291.55263157894734,259.7828947368421,6.084752321981455,2019,Bahrain Grand Prix
GRO,0 days 00:48:52.659444444,234.33333333333334,247.55555555555554,274.0,283.1111111111111,259.75,6.117647058823536,2019,Bahrain Grand Prix
MAG,0 days 01:17:57.748116279,229.7674418604651,244.1627906976744,274.06976744186045,287.6279069767442,258.90697674418607,6.960670314637468,2019,Bahrain Grand Prix
HAM,0 days 01:23:31.568897435,232.2051282051282,238.4102564102564,277.5128205128205,286.8974358974359,258.7564102564103,7.111236802413259,2019,Bahrain Grand Prix
KVY,0 days 01:14:27.934933333,228.0,239.06666666666666,278.43333333333334,287.4,258.225,7.642647058823513,2019,Bahrain Grand Prix
RUS,0 days 01:22:08.068651162,229.62790697674419,236.1627906976744,277.27906976744185,289.16279069767444,258.0581395348837,7.809507523939828,2019,Bahrain Grand Prix
KUB,0 days 01:21:54.953666666,230.46153846153845,236.48717948717947,274.94871794871796,286.3076923076923,257.05128205128204,8.816365007541492,2019,Bahrain Grand Prix
LEC,0 days 01:22:39.803073170,229.02439024390245,244.0,274.5121951219512,278.8048780487805,256.5853658536585,9.28228120516502,2019,Bahrain Grand Prix
VET,0 days 01:19:47.720288888,271.75555555555553,266.8,258.93333333333334,306.68888888888887,276.0444444444444,0.0,2019,Chinese Grand Prix
LEC,0 days 01:17:16.042292682,270.6341463414634,266.9756097560976,257.7073170731707,305.8536585365854,275.29268292682923,0.7517615176151935,2019,Chinese Grand Prix
NOR,0 days 01:19:37.614081081,269.97297297297297,264.4054054054054,257.6756756756757,306.4864864864865,274.6351351351351,1.4093093093093216,2019,Chinese Grand Prix
KVY,0 days 01:05:54.674656250,273.5,265.8125,254.0,303.9375,274.3125,1.731944444444423,2019,Chinese Grand Prix
ALB,0 days 01:14:29.182657142,273.48571428571427,263.2,253.77142857142857,304.37142857142857,273.70714285714286,2.3373015873015675,2019,Chinese Grand Prix
RAI,0 days 01:20:27.688918367,270.2448979591837,264.0816326530612,254.12244897959184,304.6938775510204,273.2857142857143,2.7587301587301454,2019,Chinese Grand Prix
VER,0 days 01:17:48.151682926,269.7317073170732,264.4634146341463,255.0731707317073,302.3658536585366,272.9085365853658,3.1359078590786,2019,Chinese Grand Prix
SAI,0 days 01:25:41.524906976,269.4651162790698,262.4651162790698,258.2093023255814,301.27906976744185,272.8546511627907,3.189793281653749,2019,Chinese Grand Prix
PER,0 days 01:22:39.142204545,268.4318181818182,262.90909090909093,254.38636363636363,304.8636363636364,272.64772727272725,3.396717171717171,2019,Chinese Grand Prix
STR,0 days 01:18:59.699756097,267.780487804878,260.7073170731707,254.2439024390244,307.5121951219512,272.5609756097561,3.483468834688324,2019,Chinese Grand Prix
MAG,0 days 01:20:01.861500,269.2142857142857,262.76190476190476,252.26190476190476,302.85714285714283,271.7738095238095,4.270634920634905,2019,Chinese Grand Prix
GRO,0 days 01:21:11.585395348,268.6046511627907,262.5813953488372,253.8372093023256,302.0232558139535,271.76162790697674,4.282816537467681,2019,Chinese Grand Prix
GIO,0 days 01:17:42.628243243,270.4054054054054,261.13513513513516,252.32432432432432,302.7837837837838,271.6621621621622,4.382282282282233,2019,Chinese Grand Prix
GAS,0 days 01:19:08.300200,269.1777777777778,263.24444444444447,252.84444444444443,300.31111111111113,271.39444444444445,4.649999999999977,2019,Chinese Grand Prix
HUL,0 days 00:47:02.578357142,264.2857142857143,259.92857142857144,248.92857142857142,305.7142857142857,269.7142857142857,6.330158730158701,2019,Chinese Grand Prix
BOT,0 days 01:20:04.705190476,264.4761904761905,258.8333333333333,257.8333333333333,297.0952380952381,269.5595238095238,6.484920634920627,2019,Chinese Grand Prix
HAM,0 days 01:20:11.565181818,263.34090909090907,257.6363636363636,257.40909090909093,298.8636363636364,269.3125,6.731944444444423,2019,Chinese Grand Prix
RIC,0 days 01:21:25.197756756,263.7837837837838,260.86486486486484,252.05405405405406,295.6216216216216,268.0810810810811,7.963363363363328,2019,Chinese Grand Prix
RUS,0 days 01:17:01.915414634,264.609756097561,260.9268292682927,252.14634146341464,293.780487804878,267.8658536585366,8.17859078590783,2019,Chinese Grand Prix
KUB,0 days 01:22:41.601341463,264.219512195122,256.9512195121951,250.8780487804878,294.0243902439024,266.5182926829268,9.52615176151761,2019,Chinese Grand Prix
GAS,0 days 01:07:59.812212121,201.72727272727272,211.66666666666666,316.90909090909093,315.72727272727275,261.50757575757575,0.0,2019,Azerbaijan Grand Prix
VER,0 days 01:21:27.887212765,203.53191489361703,218.29787234042553,313.3404255319149,310.36170212765956,261.3829787234042,0.12459703417152923,2019,Azerbaijan Grand Prix
LEC,0 days 01:20:09.179488888,205.84444444444443,216.51111111111112,311.4222222222222,308.1777777777778,260.48888888888894,1.0186868686868138,2019,Azerbaijan Grand Prix
